{'page_j': 1, 'test': 'equality', 'page_i': 1, 'result': 'pass', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 1, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 1, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 1, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 1, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 1, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 1, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 2, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 2, 'result': 'pass', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 2, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 2, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 2, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 2, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 2, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 3, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 4, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 4, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 4, 'result': 'pass', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 4, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 4, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 4, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 4, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 5, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 5, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 5, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 5, 'result': 'pass', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 5, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 5, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 5, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 6, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 7, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 7, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 7, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 7, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 5, 'test': 'equality', 'page_i': 7, 'result': 'pass', 'case': 'DefaultTest'}
{'page_j': 6, 'test': 'equality', 'page_i': 7, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 7, 'test': 'equality', 'page_i': 7, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 1, 'test': 'equality', 'page_i': 8, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 2, 'test': 'equality', 'page_i': 8, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 3, 'test': 'equality', 'page_i': 8, 'result': 'fail', 'case': 'DefaultTest'}
{'page_j': 4, 'test': 'equality', 'page_i': 8, 'result': 'fail', 'case': 'DefaultTest'}
